219366157, 45.54042460339|-122.61466057273
63881076, 45.538889382951|-122.61625467822
63881482, 45.539470016745|-122.62296359095
63881849, 45.539605094615|-122.61790242947
63882802, 45.538753364323|-122.61693147678
63882869, 45.539193207315|-122.62093832537
63882406, 45.538005497948|-122.6209359595
63882991, 45.53974168311|-122.61891256213
63883298, 45.540574291518|-122.62062452299
63883490, 45.538895502851|-122.61890935987
63883511, 45.538053540214|-122.61992222581
63883415, 45.539608615949|-122.62093563979
63883572, 45.540294338524|-122.62093788784
63883630, 45.53987914877|-122.62195015597
63883720, 45.538342888941|-122.61790142602
63883738, 45.540292851368|-122.61722872933
63884047, 45.538857924995|-122.62093810541
63883972, 45.540292226614|-122.61891150268
63883677, 45.539468366704|-122.62093195107
63884819, 45.548314768559|-122.62037084622
63887584, 45.539471353281|-122.62194803388
63891081, 45.538346241717|-122.62194803939
63898734, 45.539878749568|-122.61624966929
63898875, 45.539879968864|-122.61528198927
63899143, 45.540017192086|-122.61565812137
63900252, 45.539259248917|-122.61427141869
63900994, 45.540154022223|-122.61625145882
63914869, 45.539334533287|-122.61890842878
335229604, 45.539878311608|-122.61565887375
335251890, 45.54029361915|-122.61960960235
361963994, 45.539040753548|-122.62062576042
376123960, 45.540014958573|-122.61890916616
376137111, 45.538757743615|-122.62093328808
381080879, 45.537782948828|-122.62237122917
381069708, 45.553050981387|-122.63301251789
100637726, 45.544993507056|-122.63403925897
346211309, 45.548079686401|-122.63037704852
414684461, 45.549623711518|-122.62739007817
414693617, 45.547297932763|-122.62573816641
414672342, 45.549158040026|-122.63555489045
414705132, 45.54587141134|-122.63775282547
290154472, 45.54836360491|-122.62863824331
63891381, 45.541420147434|-122.62499391814
63880027, 45.551107683494|-122.63979531912
63865670, 45.550416542348|-122.62679879543
63920930, 45.545663296911|-122.63799258754
64188423, 45.542149099094|-122.63908880005
62695549, 45.548528759483|-122.63977534965
63760523, 45.549817958645|-122.63151882262
63759703, 45.543827470051|-122.63968999296
62714839, 45.855816472005|-122.81503683894
62714841, 45.855367447662|-122.81888269273
62714885, 45.85639473297|-122.81948789137
62714919, 45.858246252609|-122.81678573042
62715009, 45.85700862376|-122.81413698298
62715030, 45.857945065324|-122.81786241745
62715162, 45.856687455421|-122.8197812144
62715175, 45.855650483727|-122.81696242274
62715187, 45.854996123082|-122.81739263381
62715265, 45.856512341125|-122.81630542005
62718160, 45.8574169424|-122.81627532129
62713573, 45.85895788099|-122.81794481843
